,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
275824,2014,Ford,Expedition,EL King Ranch,SUV,automatic,1fmjk1h55eef21502,tx,44.0,32141.0,white,tan,avis corporation,31400.0,32500.0,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
480615,2012,Scion,xD,Base,hatchback,automatic,jtkku4b43c1026202,fl,28.0,34255.0,gray,black,world omni financial corporation,10100.0,9100.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
167963,2013,Chevrolet,Malibu,LT,Sedan,automatic,1g11c5saxdf308920,ca,19.0,57369.0,blue,black,fox rent a car,12000.0,10700.0,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
242457,2012,Jeep,Liberty,Limited,SUV,automatic,1c4pjmck1cw106832,co,43.0,43615.0,black,black,justus motors company inc,17300.0,18400.0,Wed Feb 04 2015 03:45:00 GMT-0800 (PST)
354395,2003,Buick,Park Avenue,Base,Sedan,automatic,1g4cw54k434136693,fl,19.0,94882.0,red,—,credit acceptance corp/vrs/southfield,3000.0,2800.0,Thu Feb 26 2015 09:00:00 GMT-0800 (PST)
241752,2013,Toyota,Corolla,L,Sedan,automatic,2t1bu4ee9dc117984,fl,2.0,33817.0,black,gray,remarketing by ge/mccoy leasing & finance inc,11400.0,9900.0,Wed Feb 18 2015 01:00:00 GMT-0800 (PST)
376461,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cn475821,ca,43.0,33279.0,—,black,nissan-infiniti lt,12500.0,13000.0,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
13837,2014,Ford,Edge,Limited,SUV,automatic,2fmdk3kcxeba75102,tx,47.0,16933.0,—,gray,ars/enterprise,23400.0,24400.0,Tue Dec 23 2014 14:00:00 GMT-0800 (PST)
333561,2010,Kia,Sportage,LX,SUV,automatic,kndkgca30a7699427,ca,46.0,93947.0,white,tan,aaero sweet company,7975.0,9500.0,Wed Feb 18 2015 04:00:00 GMT-0800 (PST)
31991,2013,Ford,Edge,SEL,SUV,automatic,2fmdk3jc4dbb10510,il,44.0,27096.0,gray,black,ford motor credit company llc,20800.0,20300.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
383713,2010,Volkswagen,Jetta,Limited Edition PZEV,Sedan,manual,3vwjz7aj4am024453,ca,2.0,91351.0,silver,black,tdaf remarketing,6100.0,5200.0,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
486580,2013,Ford,Fusion,SE,sedan,automatic,3fa6p0h77dr329362,wi,37.0,47211.0,white,black,dtg operations inc,12300.0,11800.0,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
195690,2006,Chevrolet,Impala,LS,Sedan,automatic,2g1wb58k469430127,nj,3.0,175708.0,black,gray,ht automotive llc,2025.0,2950.0,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
182863,2012,Ford,Edge,SEL,SUV,automatic,2fmdk4jc1cba65742,nj,47.0,16139.0,white,black,ford motor credit company llc,23400.0,23100.0,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
203744,2008,Chevrolet,Equinox,LS,SUV,automatic,2cndl23f786072400,fl,24.0,83894.0,white,gray,capital one auto finance,6625.0,6200.0,Wed Jan 28 2015 01:10:00 GMT-0800 (PST)
99064,2011,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cpxbl485173,ca,35.0,76736.0,silver,black,airport car rental inc,5775.0,5350.0,Wed Jan 07 2015 04:30:00 GMT-0800 (PST)
211385,2011,Scion,xB,Base,Wagon,,jtlze4fexb1121154,tx,35.0,55803.0,blue,gray,music city autoplex llc,10000.0,10500.0,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
147896,2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f65ca231525,pa,44.0,22823.0,white,beige,ahfc/honda lease trust/hvt  inc.,13900.0,15000.0,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
439860,2014,Chevrolet,Cruze,2LT,Sedan,,1g1pe5sb2e7209081,pa,31.0,32202.0,black,black,avis corporation,12800.0,12300.0,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
290691,2014,Ford,Explorer,XLT,SUV,automatic,1fm5k7d81ega20938,fl,44.0,19885.0,—,black,ford motor credit company,27700.0,38500.0,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
533186,2013,Buick,Verano,Convenience Group,sedan,automatic,1g4pr5sk3d4121096,co,2.0,24565.0,brown,beige,ally,13450.0,11800.0,Wed Jun 17 2015 04:45:00 GMT-0700 (PDT)
252304,2008,Lexus,GS 460,Base,Sedan,automatic,jthbl96s785001155,fl,34.0,114489.0,white,—,courtesy chrysler jeep dodge,15850.0,15600.0,Thu Feb 05 2015 08:20:00 GMT-0800 (PST)
318465,2012,Mazda,Mazda2,Touring,Hatchback,automatic,jm1de1lzxc0142377,fl,36.0,65119.0,gray,black,tdaf remarketing,7000.0,7800.0,Tue Feb 17 2015 01:00:00 GMT-0800 (PST)
93096,2006,land rover,range,rover sport hse,,automatic,salsf25406a973518,ga,39.0,97172.0,silver,black,jim ellis,13850.0,14800.0,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
542732,2014,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcg0er387899,mn,4.0,28803.0,white,black,hertz corporation/gdp,16200.0,16200.0,Wed Jun 17 2015 06:00:00 GMT-0700 (PDT)
