InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
567211,22629,SPACEBOY LUNCH BOX ,2,2011-09-19 11:02:00,1.95,14159,United Kingdom
547108,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,5,2011-03-21 11:36:00,4.95,14659,United Kingdom
552232,23208,LUNCH BAG VINTAGE LEAF DESIGN,1,2011-05-06 15:54:00,4.13,15287,United Kingdom
577551,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-11-20 15:21:00,0.55,12395,Belgium
566440,23354,6 GIFT TAGS 50'S CHRISTMAS ,12,2011-09-12 15:19:00,0.83,15755,United Kingdom
552703,85132B,CHARLIE AND LOLA TABLE TINS,4,2011-05-10 16:00:00,1.95,14462,United Kingdom
568065,22780,LIGHT GARLAND BUTTERFILES PINK,4,2011-09-23 13:44:00,4.25,16240,United Kingdom
565519,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,2011-09-05 11:52:00,3.25,12502,Spain
568895,23002,TRAVEL CARD WALLET SKULLS,4,2011-09-29 13:11:00,0.42,15356,United Kingdom
569219,23319,BOX OF 6 MINI 50'S CRACKERS,1,2011-10-02 13:01:00,2.49,13558,United Kingdom
564221,22846,BREAD BIN DINER STYLE RED ,2,2011-08-24 09:36:00,33.29,15287,United Kingdom
540468,15056N,EDWARDIAN PARASOL NATURAL,1,2011-01-07 13:55:00,12.72,15287,United Kingdom
554512,20724,RED RETROSPOT CHARLOTTE BAG,1,2011-05-24 15:54:00,1.63,15287,United Kingdom
543097,22180,RETROSPOT LAMP,1,2011-02-03 11:41:00,20.79,15287,United Kingdom
543451,21578,WOODLAND DESIGN  COTTON TOTE BAG,1,2011-02-08 12:13:00,4.96,15287,United Kingdom
541262,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,1,2011-01-16 15:50:00,4.25,18069,United Kingdom
560841,21811,HANGING HEART WITH BELL,24,2011-07-21 12:25:00,1.06,14298,United Kingdom
560996,21556,CERAMIC STRAWBERRY MONEY BOX,2,2011-07-22 13:53:00,2.55,17625,United Kingdom
560692,21041,RED RETROSPOT OVEN GLOVE DOUBLE,1,2011-07-20 12:01:00,2.95,14704,United Kingdom
556103,22680,FRENCH BLUE METAL DOOR SIGN 5,1,2011-06-08 16:18:00,1.25,16011,United Kingdom
575875,23602,SET 10 CARDS 3 WISE MEN 17107,1,2011-11-11 13:06:00,2.91,15287,United Kingdom
567288,23287,RED VINTAGE SPOT BEAKER,2,2011-09-19 11:49:00,0.85,16906,United Kingdom
564224,84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24,2011-08-24 09:56:00,0.19,15249,United Kingdom
580115,90198A,VINTAGE ROSE BEAD BRACELET RASPBERR,1,2011-12-01 16:22:00,4.15,15287,United Kingdom
557500,22595,GINGHAM HEART DECORATION,1,2011-06-20 15:27:00,1.63,15287,United Kingdom
550106,84375,SET OF 20 KIDS COOKIE CUTTERS,2,2011-04-14 12:31:00,2.1,13772,United Kingdom
561192,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,8,2011-07-25 13:45:00,1.45,16033,United Kingdom
543978,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2011-02-14 15:37:00,2.55,12867,United Kingdom
555158,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2011-06-01 08:38:00,0.85,14842,United Kingdom
562427,22841,ROUND CAKE TIN VINTAGE GREEN,1,2011-08-04 17:19:00,7.95,17267,United Kingdom
540468,22814,CARD PARTY GAMES ,1,2011-01-07 13:55:00,0.85,15287,United Kingdom
546013,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,1,2011-03-08 16:38:00,2.55,16495,United Kingdom
544347,22114,,-4,2011-02-18 09:51:00,0.0,15287,United Kingdom
572312,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2011-10-23 15:47:00,4.95,15022,United Kingdom
550317,22587,FELTCRAFT HAIRBAND RED AND BLUE,12,2011-04-17 11:56:00,0.85,15172,United Kingdom
580998,23284,DOORMAT KEEP CALM AND COME IN,1,2011-12-06 17:26:00,8.25,16987,United Kingdom
567864,23167,SMALL CERAMIC TOP STORAGE JAR ,12,2011-09-22 14:10:00,0.83,16236,United Kingdom
573905,21809,CHRISTMAS HANGING TREE WITH BELL,6,2011-11-01 15:06:00,0.39,16971,United Kingdom
563564,47566,PARTY BUNTING,10,2011-08-17 14:11:00,4.95,16633,United Kingdom
546252,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,2011-03-10 14:42:00,4.95,14930,Channel Islands
561595,23335,EGG FRYING PAN IVORY ,6,2011-07-28 11:22:00,2.08,12853,United Kingdom
552013,22915,ASSORTED BOTTLE TOP  MAGNETS ,24,2011-05-05 17:34:00,0.42,12451,Switzerland
547248,85099B,JUMBO BAG RED RETROSPOT,2,2011-03-22 09:23:00,4.13,15287,United Kingdom
543909,22197,SMALL POPCORN HOLDER,4,2011-02-14 12:32:00,1.63,15287,United Kingdom
562102,23118,PARISIENNE JEWELLERY DRAWER ,6,2011-08-02 14:21:00,7.5,13089,United Kingdom
537237,22835,HOT WATER BOTTLE I AM SO POORLY,5,2010-12-06 09:58:00,9.32,15287,United Kingdom
547108,20717,STRAWBERRY SHOPPER BAG,4,2011-03-21 11:36:00,1.25,14659,United Kingdom
550997,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2011-04-26 09:04:00,2.95,17735,United Kingdom
566304,23272,TREE T-LIGHT HOLDER WILLIE WINKIE,12,2011-09-12 09:03:00,1.65,18158,United Kingdom
581492,23538,WALL ART VINTAGE HEART,1,2011-12-09 10:03:00,10.79,15287,United Kingdom
547374,84218,BOX/12 CHICK & EGG IN BASKET,1,2011-03-22 13:54:00,1.95,16110,United Kingdom
557878,20724,RED RETROSPOT CHARLOTTE BAG,10,2011-06-23 13:13:00,0.85,16940,United Kingdom
C554477,85099B,JUMBO BAG RED RETROSPOT,-1,2011-05-24 12:44:00,2.08,16086,United Kingdom
568517,23344,JUMBO BAG 50'S CHRISTMAS ,4,2011-09-27 12:52:00,2.08,14456,United Kingdom
576860,23084,RABBIT NIGHT LIGHT,6,2011-11-16 15:58:00,2.08,17602,United Kingdom
547652,22221,CAKE STAND LOVEBIRD 2 TIER PINK,1,2011-03-24 12:15:00,9.95,14606,United Kingdom
537258,21291,SMALL POLKADOT CHOCOLATE GIFT BAG ,32,2010-12-06 11:16:00,0.85,17227,United Kingdom
543273,21166,COOK WITH WINE METAL SIGN ,1,2011-02-06 11:29:00,2.08,16456,United Kingdom
576329,23329,DECORATIVE WICKER HEART LARGE,3,2011-11-14 15:22:00,3.29,15287,United Kingdom
576391,23204,CHARLOTTE BAG APPLES DESIGN,10,2011-11-15 10:13:00,2.46,15287,United Kingdom
580372,22916,HERB MARKER THYME,12,2011-12-02 17:04:00,0.65,16359,United Kingdom
556932,22798,ANTIQUE GLASS DRESSING TABLE POT,1,2011-06-15 15:41:00,5.79,15287,United Kingdom
555631,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,4,2011-06-06 12:06:00,1.45,18118,United Kingdom
563354,23229,VINTAGE DONKEY TAIL GAME ,3,2011-08-15 14:35:00,3.75,15271,United Kingdom
560580,23133,LARGE IVORY HEART WALL ORGANISER,12,2011-07-19 15:23:00,7.05,14088,United Kingdom
581381,21344,MOROCCAN BEATEN METAL DISH,2,2011-12-08 12:54:00,9.95,16933,United Kingdom
555565,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,2011-06-05 15:06:00,0.85,15298,United Kingdom
556905,21467,CHERRY CROCHET FOOD COVER,1,2011-06-15 13:05:00,3.75,16904,United Kingdom
